Menu ID,Stall Location,Menu TH,Menu EN,Price (Baht),Regional Cuisine,Cooking Method,Food Type,Other details,Main Ingredients, Hidden Ingredients,Food Picture
01001,01,ข้าวราดแกง 1 อย่าง,Rice with one Thai curry,20,Thai,Mixed,Rice & Curry,–,"rice, curry","fish sauce, chili, garlic, oil",https://res.cloudinary.com/dejzapat4/image/upload/v1739355609/01001_y7omho.jpg
01002,01,ข้าวราดแกง 2 อย่าง,Rice with two Thai curries,25,Thai,Mixed,Rice & Curry,–,"rice, curry","fish sauce, chili, garlic, oil",https://res.cloudinary.com/dejzapat4/image/upload/v1739355606/01002_igs0zz.jpg
01003,01,ข้าวราดแกง 3 อย่าง,Rice with three Thai curries,35,Thai,Mixed,Rice & Curry,–,"rice, curry","fish sauce, chili, garlic, oil",https://res.cloudinary.com/dejzapat4/image/upload/v1739355607/01003_tom9dw.jpg
01004,01,แกงใส่ถุง,Thai curry in a bag,30,Thai,Mixed,Rice & Curry,takeaway,curry,"fish sauce, chili, garlic, sugar",https://res.cloudinary.com/dejzapat4/image/upload/v1739355606/01004_tddycq.jpg
01005,01,ห่อหมก,Thai steamed fish curry in banana leaf,17,Thai,Steamed,Curry,wrapped in banana leaf,"fish, curry paste","chili, coconut milk, herbs",https://res.cloudinary.com/dejzapat4/image/upload/v1739355607/01005_herl1f.jpg
01006,01,ไข่ตุ๋น,Thai steamed egg,17,Thai,Steamed,Topping,soft texture,egg,"fish sauce, pepper, water",https://res.cloudinary.com/dejzapat4/image/upload/v1739355607/01006_xnvz3x.jpg
01007,01,ไข่ต้ม,Boiled egg,17,Thai,Boiled,Topping,–,egg,"salt, water",https://res.cloudinary.com/dejzapat4/image/upload/v1739355607/01007_rqs5sb.jpg
01008,01,ไข่ดาว,Fried egg,17,Thai,Fried,Topping,–,"egg, oil",salt,https://res.cloudinary.com/dejzapat4/image/upload/v1739355608/01008_emtbmy.jpg
01009,01,ปลาสวายทอดน้ำปลา,Deep-fried swai fish with fish sauce,15,Thai,Fried,Seafood,savory,"swai fish, fish sauce","garlic, oil, pepper",https://res.cloudinary.com/dejzapat4/image/upload/v1739355608/01009_yfyfke.jpg
01010,01,ปลานิลแดดเดียว,Sun-dried tilapia fish,20,Thai,Fried (after sun-dry),Seafood,salty,tilapia fish,"salt, oil",https://res.cloudinary.com/dejzapat4/image/upload/v1739355608/01010_rmzbuy.jpg
